year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2030,4.2358004000000005,5.04524,24.923741999999997,16.3327,12.42,36.831427000000005,14.342644
2035,4.2358004000000005,2.81574,28.060575,15.903979999999999,12.42,43.171148,15.274833000000001
2040,4.2358004000000005,2.4444,31.714686,5.02332,12.42,48.376435,16.555736
2045,4.2358004000000005,2.35704,35.631231,0.6888,12.42,52.242127999999994,18.520263
2050,4.2358004000000005,2.2556,39.281174,0.6888,12.42,56.78527,20.243543000000003
2025,0.0,7.5059,1.5118633,16.3716,12.42,0.2672,8.5464096
2030,7.5911526,5.04524,19.11018,16.3327,12.42,25.235049999999998,16.139161
2035,8.1477386,2.81574,21.482446,15.903979999999999,12.42,27.93245,18.011861
2040,8.1477386,2.4444,24.744705999999997,5.02332,12.42,32.006046999999995,20.850851
2045,8.1477386,2.35704,28.378434000000002,0.6888,12.42,35.901000999999994,23.543637999999998
2050,8.1477386,2.2556,32.258197,0.6888,12.42,39.623596,26.149666
2025,0.0,7.5059,1.0728932,16.3716,12.42,0.2672,8.8913662
2030,4.5584993,5.04524,23.163783,16.3327,12.42,32.613949,16.206984000000002
2035,4.5584993,2.81574,26.2767,15.903979999999999,12.42,36.939674,18.366426
2040,4.5584993,2.4444,29.383888,5.02332,12.42,41.317963000000006,20.521169
2045,4.5584993,2.35704,33.92702,0.6888,12.42,44.72904,22.256376
2050,4.5584993,2.2556,36.923004,0.6888,12.42,49.198767,24.436269
2025,0.0,7.5059,1.4731986,16.3716,12.42,0.2672,9.5535356
2030,5.906834300000001,5.04524,22.335432,16.3327,12.42,30.420649,16.465066
2035,5.906834300000001,2.81574,25.286559,15.903979999999999,12.42,34.993879,19.107976999999998
2040,5.906834300000001,2.4444,29.077784,5.02332,12.42,38.988978,21.465521
2045,5.906834300000001,2.35704,32.721251,0.6888,12.42,43.08576,23.873256
2050,5.906834300000001,2.2556,35.527394,0.6888,12.42,47.758763,26.565415
2025,0.0,7.5059,1.3527240999999999,16.3716,12.42,0.2672,8.3009307
2030,4.3768972999999995,5.04524,24.619078000000002,16.3327,12.42,37.817445,14.418911
