year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2035,5.7361934,2.81574,15.622358,15.903979999999999,12.42,32.14336,24.355797
2040,6.0793528,2.4444,17.449483,5.02332,12.42,35.959948,26.390023
2045,6.0793528,2.35704,20.335689,0.6888,12.42,43.23493,27.254866999999997
2050,6.0793528,2.2556,22.898681,0.6888,12.42,48.608159,29.27743
2025,0.0,7.5059,0.1281,16.3716,12.42,4.2305377,7.7112398
2030,3.1641817,5.04524,16.32129,16.3327,12.42,34.40961,20.326195
2035,3.1641817,2.81574,18.161799,15.903979999999999,12.42,37.579966999999996,23.168080999999997
2040,3.1641817,2.4444,20.011034,5.02332,12.42,40.727743000000004,26.013521
2045,3.1641817,2.35704,21.899071,0.6888,12.42,43.775093,28.874769
2050,3.1641817,2.2556,23.787095,0.6888,12.42,46.822476,31.736012
2025,0.0,7.5059,0.1281,16.3716,12.42,2.3029326,9.161040199999999
2030,1.6508409,5.04524,16.862046999999997,16.3327,12.42,41.831092,19.217076000000002
2035,1.6508409,2.81574,18.624077,15.903979999999999,12.42,45.976237,21.485845
2040,1.6508409,2.4444,20.388466,5.02332,12.42,50.129029,23.751371
2045,1.6508409,2.35704,22.154105,0.6888,12.42,54.285873,26.015178
2050,1.6508409,2.2556,25.070412,0.6888,12.42,58.091191,27.872682
2025,0.0,7.5059,0.16679577,16.3716,12.42,6.1589409999999996,6.29482
2030,2.7065441,5.04524,19.178777999999998,16.3327,12.42,41.017441,16.530801
2035,2.7065441,2.81574,21.371753000000002,15.903979999999999,12.42,45.477283,18.565561000000002
2040,2.7065441,2.4444,23.565876,5.02332,12.42,49.941105,20.598761999999997
2045,2.7065441,2.35704,25.76,0.6888,12.42,54.404927,22.631964
2050,2.7065441,2.2556,27.954124,0.6888,12.42,58.868749,24.665166000000003
2025,0.0,7.5059,0.1281,16.3716,12.42,5.464589,7.3024019
2030,3.9883224,5.04524,11.023341,16.3327,12.42,27.191963,26.97631
2035,3.9883224,2.81574,12.269713,15.903979999999999,12.42,29.943606,30.774032
2040,3.9883224,2.4444,13.259787000000001,5.02332,12.42,32.171419,34.972038
2045,3.9883224,2.35704,14.831944,0.6888,12.42,35.110508,38.527798000000004
2050,3.9883224,2.2556,15.930131,0.6888,12.42,37.470428999999996,42.606516000000006
2025,0.0,7.5059,0.1281,16.3716,12.42,2.4007296,8.749763699999999
2030,3.4888847999999997,5.04524,14.380576,16.3327,12.42,32.682801,21.36759
2035,3.4888847999999997,2.81574,16.109177,15.903979999999999,12.42,36.618216999999994,23.972055
2040,3.4888847999999997,2.4444,18.024588,5.02332,12.42,39.268527999999996,27.120116999999997
2045,3.4888847999999997,2.35704,19.78581,0.6888,12.42,42.979534,29.819507
2050,3.4888847999999997,2.2556,21.570798,0.6888,12.42,46.642184,32.533338
2025,0.0,7.5059,0.1281,16.3716,12.42,5.2559741,7.4505967
2030,3.6255182,5.04524,16.027781,16.3327,12.42,42.369656000000006,16.934814
2035,3.6255182,2.81574,17.444753000000002,15.903979999999999,12.42,47.644123,19.287457
2040,3.6255182,2.4444,19.059731,5.02332,12.42,52.84722,21.552345000000003
2045,3.6255182,2.35704,21.300391,0.6888,12.42,57.813184,23.549356
2050,3.6255182,2.2556,23.378674999999998,0.6888,12.42,62.775262000000005,25.669010999999998
2025,0.0,7.5059,0.29102484,16.3716,12.42,6.3522542,6.29482
2030,2.8516964,5.04524,18.992881,16.3327,12.42,46.843468,13.198691
2035,2.8516964,2.81574,19.705056,15.903979999999999,12.42,51.239273000000004,16.475858
2040,2.8516964,2.4444,23.429509999999997,5.02332,12.42,57.362814,16.438692
2045,2.8516964,2.35704,25.613128,0.6888,12.42,62.602586,18.096867999999997
2050,2.8516964,2.2556,28.341745,0.6888,12.42,68.154951,19.155395000000002
2025,0.0,7.5059,0.17931074,16.3716,12.42,6.5515091000000005,6.29482
2030,0.41950085000000004,5.04524,16.792145,16.3327,12.42,33.433749000000006,26.221502
2035,0.41950085000000004,2.81574,18.348364,15.903979999999999,12.42,36.713127,28.978509
2040,0.41950085000000004,2.4444,19.912987,5.02332,12.42,40.011357000000004,31.725276
2045,0.41950085000000004,2.35704,21.458381000000003,0.6888,12.42,43.399448,34.452314
2050,0.41950085000000004,2.2556,23.016828,0.6888,12.42,46.790378,37.172028
2025,0.0,7.5059,0.1281,16.3716,12.42,4.80626,7.4005473
2030,1.3581042,5.04524,21.103505000000002,16.3327,12.42,43.574037,16.592053
2035,1.3581042,2.81574,23.339644,15.903979999999999,12.42,47.955137,18.437984
2040,1.3581042,2.4444,25.684197,5.02332,12.42,52.276691,20.256142
2045,1.3581042,2.35704,28.051861000000002,0.6888,12.42,56.587488,22.06791
2050,1.3581042,2.2556,30.419682,0.6888,12.42,60.899688000000005,23.879279
2025,0.0,7.5059,0.7748882,16.3716,12.42,0.2672,6.29482
2030,1.6017754,5.04524,22.832196,16.3327,12.42,37.965299,16.659221000000002
2035,1.6017754,2.81574,25.443894,15.903979999999999,12.42,42.049011,18.444681
2040,1.6017754,2.4444,28.055512999999998,5.02332,12.42,46.132512999999996,20.230437000000002
2045,1.6017754,2.35704,30.664862,0.6888,12.42,50.209964,22.024746
2050,1.6017754,2.2556,33.262879,0.6888,12.42,54.257199,23.861754
