BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
5.9505052,2.2556,33.653377,0.6888,12.42,49.628178,24.568283,0,0,0
7.4058413,2.2556,32.984307,0.6888,12.42,39.67653,29.027279,0,0,0
6.9652937,2.2556,35.256667,0.6888,12.42,51.127078,23.108501,0.15778824,0,0
8.4062919,2.2556,30.746339,0.6888,12.42,38.724515,27.372002,5.4075523E-10,0,0
3.5192805,2.2556,38.285566,0.6888,12.42,60.961814,22.122143,0,0,0
4.4729347,2.2556002,33.912474,0.6888003,12.42,57.671531,19.726602,1.4685566,2.0979742E-07,2.1600398E-05
6.0552114,2.2556,34.494771,0.6888,12.42,57.644235,18.700897,0.65888584,0,0
6.1287311,2.2556,35.787102,0.6888,12.42,50.188136,24.256111,0,0,0
5.7531761,2.2556,33.844649,0.6888,12.42,56.092159,22.498349,0,0,0
7.235587,2.2556,29.175378,0.6888,12.42,39.814216,25.544226,1.2922225,0,0
4.577267,2.2556003,37.791205,0.68880036,12.42,61.003275,19.895377,0.46651687,1.8957549E-07,7.7043456E-06
5.6272952,2.2556,35.766562,0.6888,12.42,52.035015,22.465296,0,0,0
5.0186811,2.2556,33.081101,0.6888,12.42,50.408673,27.141139,2.891521E-09,0,0
4.2358004,2.2556,39.281174,0.6888,12.42,56.78527,20.243543,0,0,0
8.1477386,2.2556,32.258197,0.6888,12.42,39.623596,26.149666,0,0,0
4.5584993,2.2556,36.923004,0.6888,12.42,49.198767,24.436269,0,0,0
5.9068343,2.2556,35.527394,0.6888,12.42,47.758763,26.565415,0,0,0
4.3768973,2.2556,37.51992,0.6888,12.42,57.431824,21.968129,0,0,0
4.0888982,2.2556,35.830709,0.6888,12.42,55.267418,25.517322,0,0,0
4.9782521,2.2556,36.0794,0.6888,12.42,56.799848,21.977463,0,0,0
7.312523,2.2556,32.446379,0.6888,12.42,37.045775,28.706374,0,0,0
4.0995147,2.2556,37.208598,0.6888,12.42,65.468566,21.376938,0.068387598,0,0
4.4081579,2.2556,34.052742,0.6888,12.42,54.599413,24.252585,0,0,0
7.131472,2.2556,34.085712,0.6888,12.42,43.133547,26.050302,0,0,0
6.5228041,2.2556,36.189558,0.6888,12.42,54.142133,20.890127,5.1873217E-11,0,0
6.1492757,2.2556,30.365495,0.6888,12.42,46.812224,14.554687,3.5056312,0,0
4.65295,2.2556,37.455204,0.6888,12.42,59.439477,21.716763,0,0,0
4.5275886,2.2556,37.3191,0.6888,12.42,54.456679,23.825057,6.1569184E-11,0,0
4.6226578,2.2556,36.863137,0.6888,12.42,56.904806,23.188939,0,0,0
3.8736126,2.2556,36.220468,0.6888,12.42,47.314786,28.04913,0,0,0
3.7674678,2.2556,34.739359,0.6888,12.42,52.18471,26.273142,2.0423613E-11,0,0
7.2502176,2.2556,32.099065,0.6888,12.42,41.75488,27.556058,0.013211677,0,0
4.4571333,2.2556,22.549838,0.6888,12.42,36.137001,10.004046,6.9589982,0,0
7.2689191,2.2556,34.405428,0.6888,12.42,41.556271,26.660294,0,0,0
7.3669498,2.2556,32.871147,0.6888,12.42,31.053318,31.357067,0,0,0
8.1453276,2.2556,31.088492,0.6888,12.42,41.572073,26.769249,8.8764702E-11,0,0
