BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
6.380379,2.2556,69.810074,0.6888,0,109.71741,37.456597,0,0,0
5.0533149,2.2556,67.671336,0.6888,0,85.3263,49.97035,0,0,0
3.8021056,2.2556,68.090264,0.6888,0,99.185571,44.981807,0,0,0
12.558245,2.2556,62.369804,0.6888,0,75.107614,46.794223,0,0,0
10.537451,2.2556,71.695013,0.6888,0,110.47868,34.306727,0,0,0
9.3580085,2.2556,61.031497,0.6888,0,93.196596,42.660925,0,0,0
10.728495,2.2556,60.887386,0.6888,0,66.712098,53.325245,0,0,0
5.271465,2.2556,68.568266,0.6888,0,109.13601,38.16136,0,0,0
13.119246,2.2556,56.834522,0.6888,0,72.59892,47.301138,0,0,0
5.4159121,2.2556,70.169044,0.6888,0,95.095374,42.730018,0,0,0
10.999922,2.2556,65.448208,0.6888,0,86.642921,43.795075,0,0,0
7.4369243,2.2556,67.746471,0.6888,0,112.04712,36.317772,0,0,0
6.3900327,2.2556,64.666074,0.6888,0,85.217125,49.810612,0,0,0
7.5097197,2.2556,64.303143,0.6888,0,94.097519,44.182254,0,0,0
12.188533,2.2556,59.318717,0.6888,0,71.013733,49.312515,0,0,0
12.386733,2.2556,65.173419,0.6888,0,111.25598,33.604998,0,0,0
9.9312754,2.2556,61.922643,0.6888,0,88.269722,44.338292,0,0,0
12.816144,2.2556,59.198986,0.6888,0,70.468012,50.308746,0,0,0
11.960152,2.2556,65.146182,0.6888,0,93.031865,40.736211,0,0,0
15.705212,2.2556,54.698375,0.6888,0,63.724117,46.344892,0,0,0
5.4288442,2.2556,69.239419,0.6888,0,111.85162,38.426276,0,0,0
8.3953732,2.2556,66.356294,0.6888,0,114.58357,38.289491,0,0,0
9.7004114,2.2556,66.007087,0.6888,0,112.42929,35.941342,0,0,0
9.574321,2.2556,66.003149,0.6888,0,92.869559,44.233268,0,0,0
8.7374649,2.2556,62.745372,0.6888,0,102.57084,41.604928,0,0,0
15.399259,2.2556,54.382554,0.6888,0,71.953616,46.08992,0,0,0
6.675888,2.2556,69.811745,0.6888,0,120.0078,37.737406,0,0,0
9.0667842,2.2556,63.383388,0.6888,0,95.567695,40.754385,0,0,0
9.1901006,2.2556,59.363289,0.6888,0,86.808077,47.688195,0,0,0
5.9566098,2.2556,72.041082,0.6888,0,106.19526,37.018436,0,0,0
14.362886,2.2556,57.853658,0.6888,0,68.093183,46.213475,0,0,0
6.9175765,2.2556,71.011561,0.6888,0,88.355407,43.577802,0,0,0
9.5416325,2.2556,64.800516,0.6888,0,84.95236,48.923558,0,0,0
7.3369512,2.2556,67.098095,0.6888,0,102.09149,39.283478,0,0,0
7.1752911,2.2556,63.028994,0.6888,0,97.648353,45.168528,0,0,0
7.9762306,2.2556,65.332314,0.6888,0,103.14672,39.655071,0,0,0
12.730767,2.2556,57.642302,0.6888,0,64.829251,51.233218,0,0,0
5.8253155,2.2556,69.430362,0.6888,0,121.95465,38.374451,0,0,0
7.2381771,2.2556,62.341811,0.6888,0,97.644856,43.323123,0,0,0
12.592336,2.2556,61.403593,0.6888,0,76.255442,45.745518,0,0,0
10.814745,2.2556,68.294984,0.6888,0,101.69435,33.664679,0,0,0
15.551069,2.2556,66.098075,0.6888,0,96.873447,30.827052,0,0,0
8.5372796,2.2556,65.610193,0.6888,0,105.41286,38.024493,0,0,0
7.7092468,2.2556,66.818548,0.6888,0,96.017575,43.030895,0,0,0
7.1749487,2.2556,67.575852,0.6888,0,103.7589,41.11528,0,0,0
6.876286,2.2556,65.091566,0.6888,0,83.180449,48.87016,0,0,0
5.4546109,2.2556,65.29959,0.6888,0,94.065572,47.901519,0,0,0
13.13007,2.2556,56.842271,0.6888,0,72.930632,48.577175,0,0,0
15.391737,2.2556,69.947895,0.6888,0,95.863826,34.714125,0,0,0
14.091057,2.2556,57.492571,0.6888,0,63.548816,49.272413,0,0,0
12.281166,2.2556,60.971707,0.6888,0,56.102652,54.19465,0,0,0
14.508844,2.2556,56.443649,0.6888,0,73.304877,46.386608,0,0,0
13.836566,2.2556,60.077215,0.6888,0,74.711593,42.173516,0,0,0
10.68392,2.2556,59.947143,0.6888,0,75.081218,47.202397,0,0,0
13.55308,2.2556,64.408846,0.6888,0,75.093882,44.586429,0,0,0
6.3339768,2.2556,70.426252,0.6888,0,116.65058,35.519106,0,0,0
5.6323213,2.2556,67.493208,0.6888,0,91.337699,47.777432,0,0,0
