BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
12.348725,2.2556,41.57571,0.6888,0,86.874128,44.070013
7.1950824,2.2556,32.383417,0.6888,0,71.106068,65.884381
6.7102801,2.2556,39.86665,0.6888,0,77.515455,56.767406
4.477142,2.2556,35.369408,0.6888,0,77.161636,64.25417
3.7969594,2.2556,59.123656,0.6888,0,115.62003,34.056274
9.6102205,2.2556,39.916365,0.6888,0,52.149169,69.69556
9.2449568,2.2556,40.720877,0.6888,0,55.300022,64.19284
6.951095,2.2556,35.790496,0.6888,0,99.2194,50.24993
6.2380793,2.2556,39.314456,0.6888,0,98.268476,48.689738
7.1252663,2.2556,43.839066,0.6888,0,98.141019,44.206336
8.8940531,2.2556,50.901317,0.6888,0,113.07495,32.203763
12.86221,2.2556,36.920428,0.6888,0,69.318431,56.61863
5.4040196,2.2556,35.837469,0.6888,0,64.291629,68.816022
3.1914074,2.2556,39.424255,0.6888,0,84.245183,60.545779
5.5267786,2.2556,49.174783,0.6888,0,105.617,42.534195
8.9796917,2.2556,29.244625,0.6888,0,55.02516,75.568533
7.983138,2.2556,41.982196,0.6888,0,90.854312,48.799583
7.9095286,2.2556,40.495851,0.6888,0,81.320643,55.488496
3.4547363,2.2556,37.297336,0.6888,0,89.937731,58.482889
5.7292744,2.2556,39.251707,0.6888,0,87.237943,54.273228
12.741945,2.2556,39.921861,0.6888,0,79.145547,52.068464
5.7000457,2.2556,47.235431,0.6888,0,102.43459,46.661011
2.3051087,2.2556,44.714179,0.6888,0,87.593918,55.221181
6.6820746,2.2556,42.95852,0.6888,0,82.914625,55.191342
4.7830195,2.2556,45.288116,0.6888,0,93.288621,52.531366
5.7837784,2.2556,38.72889,0.6888,0,55.382036,76.093524
4.5530188,2.2556,45.364081,0.6888,0,94.17678,49.819875
3.6301943,2.2556,51.435969,0.6888,0,120.6855,39.324873
0.97136258,2.2556,44.184344,0.6888,0,97.287385,52.903975
6.090548,2.2556,48.779669,0.6888,0,104.86828,43.094456
2.9237393,2.2556,63.972783,0.6888,0,107.60689,40.182812
11.585866,2.2556,39.139339,0.6888,0,75.840454,53.976291
5.6649783,2.2556,38.816085,0.6888,0,74.641964,60.551854
2.5252646,2.2556,42.078979,0.6888,0,98.479676,52.897521
4.4198892,2.2556,49.37706,0.6888,0,100.88779,45.462755
8.3856613,2.2556,26.407809,0.6888,0,55.0242,76.74505
5.8547868,2.2556,39.59682,0.6888,0,83.357222,56.596823
7.7194999,2.2556,40.158025,0.6888,0,103.74249,44.70309
4.2902344,2.2556,51.428567,0.6888,0,119.11383,35.505435
2.1144612,2.2556,40.636225,0.6888,0,81.399795,62.697697
1.9215342,2.2556,56.710699,0.6888,0,105.51886,42.643351
2.5406566,2.2556,62.00534,0.6888,0,96.356471,42.226306
