BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
3.1971747,2.2556,20.248834,0.6888,12.42,38.19565,40.210961
4.0057643,2.2556,22.021559,0.6888,12.42,49.624848,30.016578
4.7463701,2.2556,17.872147,0.6888,12.42,38.439821,39.247502
4.0133396,2.2556,19.946297,0.6888,12.42,40.326766,36.518996
4.5251364,2.2556,20.584148,0.6888,12.42,41.840828,35.380463
2.0191018,2.2556,25.050526,0.6888,12.42,53.983953,27.981713
1.6983775,2.2556,20.071768,0.6888,12.42,43.209717,37.457572
6.578989,2.2556,20.853105,0.6888,12.42,45.768456,31.689112
6.7854121,2.2556,22.103167,0.6888,12.42,41.60874,32.209498
4.5419481,2.2556,22.894631,0.6888,12.42,52.110452,27.918808
5.5227929,2.2556,21.925527,0.6888,12.42,40.307042,34.390406
6.2851111,2.2556,26.500586,0.6888,12.42,48.985245,25.855557
4.6111835,2.2556,16.089179,0.6888,12.42,27.19664,46.026601
3.8682683,2.2556,23.412646,0.6888,12.42,53.104815,28.334116
1.1567497,2.2556,21.603672,0.6888,12.42,48.370877,34.994605
1.6378167,2.2556,24.561129,0.6888,12.42,54.537373,28.476227
4.5364411,2.2556,19.808671,0.6888,12.42,50.385107,30.59571
4.0249301,2.2556,23.673674,0.6888,12.42,50.166868,28.65552
3.6732663,2.2556,23.323459,0.6888,12.42,51.512777,28.662292
1.0038377,2.2556,19.84333,0.6888,12.42,40.264155,37.832832
3.6949914,2.2556,22.881733,0.6888,12.42,45.886947,30.72758
4.3513712,2.2556,23.123825,0.6888,12.42,44.856906,30.312398
3.988858,2.2556,21.743519,0.6888,12.42,36.929562,38.013849
1.7972299,2.2556,23.154608,0.6888,12.42,47.397901,32.512476
1.0349059,2.2556,24.354806,0.6888,12.42,51.705981,31.613304
1.484654,2.2556,26.304666,0.6888,12.42,46.146774,31.85517
3.9935907,2.2556,22.253058,0.6888,12.42,44.177984,32.38184
6.3121028,2.2556,23.129666,0.6888,12.42,49.440477,26.820753
3.945694,2.2556,18.773246,0.6888,12.42,41.428797,36.907965
3.1162895,2.2556,21.500822,0.6888,12.42,45.618724,33.702623
1.8391518,2.2556,18.286055,0.6888,12.42,45.056606,38.521148
2.7240331,2.2556,31.308039,0.6888,12.42,61.088743,20.069237
5.7149724,2.2556,20.095643,0.6888,12.42,29.721733,41.158126
5.1194583,2.2556,22.197369,0.6888,12.42,31.465506,37.991426
3.7848595,2.2556,21.343775,0.6888,12.42,54.284737,29.293949
3.3592258,2.2556,20.940753,0.6888,12.42,54.375395,28.751799
3.566163,2.2556,24.275128,0.6888,12.42,54.402366,26.561577
5.1065292,2.2556,27.315639,0.6888,12.42,62.401175,18.993847
6.8019004,2.2556,21.655914,0.6888,12.42,39.308462,33.457392
2.808272,2.2556,20.771637,0.6888,12.42,39.710728,38.691196
1.7977276,2.2556,23.043691,0.6888,12.42,49.942328,32.759498
2.7777447,2.2556,27.521826,0.6888,12.42,59.229276,25.045016
4.9127843,2.2556,17.562419,0.6888,12.42,38.436585,39.685203
4.3895382,2.2556,24.551037,0.6888,12.42,54.960256,26.572543
4.7540522,2.2556,20.894174,0.6888,12.42,46.880307,32.024055
2.0922553,2.2556,21.152599,0.6888,12.42,52.690321,31.861293
2.915945,2.2556,22.611108,0.6888,12.42,51.362845,30.621741
6.6052549,2.2556,22.492548,0.6888,12.42,46.838979,30.025865
3.4250311,2.2556,25.542085,0.6888,12.42,55.312947,27.757294
1.0724701,2.2556,29.783657,0.6888,12.42,53.141953,28.888142
3.2056941,2.2556,20.660733,0.6888,12.42,42.126718,36.88559
1.773241,2.2556,29.89511,0.6888,12.42,54.026427,29.145264
3.3158053,2.2556,22.858879,0.6888,12.42,34.701167,41.609932
2.5880755,2.2556,27.827981,0.6888,12.42,58.363859,25.149027
2.6853414,2.2556,30.793871,0.6888,12.42,67.800112,20.603303
0.68049696,2.2556,24.787848,0.6888,12.42,54.490638,30.259361
3.5520794,2.2556002,27.754736,0.6888005,12.42,62.278833,23.366282
1.8079761,2.2556,38.597008,0.6888,12.42,62.932181,21.010666
6.0793528,2.2556,22.898681,0.6888,12.42,48.608159,29.27743
3.1641817,2.2556,23.787095,0.6888,12.42,46.822476,31.736012
1.6508409,2.2556,25.070412,0.6888,12.42,58.091191,27.872682
2.7065441,2.2556,27.954124,0.6888,12.42,58.868749,24.665166
3.9883224,2.2556,15.930131,0.6888,12.42,37.470429,42.606516
3.4888848,2.2556,21.570798,0.6888,12.42,46.642184,32.533338
3.6255182,2.2556,23.378675,0.6888,12.42,62.775262,25.669011
2.8516964,2.2556,28.341745,0.6888,12.42,68.154951,19.155395
0.41950085,2.2556,23.016828,0.6888,12.42,46.790378,37.172028
1.3581042,2.2556,30.419682,0.6888,12.42,60.899688,23.879279
1.6017754,2.2556,33.262879,0.6888,12.42,54.257199,23.861754
