year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2025,7.5059,0.44793497000000004,16.3716,12.42,0.2672,6.29482,1.0134958
2030,5.04524,9.193265,16.3327,12.42,7.5762441,5.61546,9.746000400000002
2035,2.81574,9.177185,15.903979999999999,12.42,7.5554241,3.21062,11.110742
2040,2.4444,8.8573501,5.02332,12.42,7.5374840999999995,2.2207016,12.58365
2045,2.35704,8.0721528,0.6888,12.42,7.3402441,0.5713071700000001,14.303379999999999
2050,2.2556,8.6592152,0.6888,12.42,7.310844100000001,0.7948090499999999,15.352079999999999
2025,7.5059,0.44888765,16.3716,12.42,0.2672,6.29482,1.0823186
2030,5.04524,8.9051572,16.3327,12.42,8.2672064,5.61546,9.608699199999998
2035,2.81574,8.8890772,15.903979999999999,12.42,8.246386399999999,3.21062,11.028777
2040,2.4444,8.581018700000001,5.02332,12.42,8.228446400000001,1.91224,12.531561
2045,2.35704,9.596433999999999,0.6888,12.42,8.0312064,2.4964412,13.408942
2050,2.2556,10.020812,0.6888,12.42,8.0018064,2.5090489,14.538865
2025,7.5059,0.38969104,16.3716,12.42,0.2672,6.29482,0.82992469
2030,5.04524,8.7331915,16.3327,12.42,8.8938159,5.61546,9.5920405
2035,2.81574,8.9587919,15.903979999999999,12.42,8.8729959,3.21062,10.890751
2040,2.4444,8.6972009,5.02332,12.42,8.8550559,2.5030166,12.324755999999999
2045,2.35704,8.0339172,0.6888,12.42,8.6578159,1.1954374,14.014776
2050,2.2556,10.054356,0.6888,12.42,8.6284159,2.9986412999999996,14.390032999999999
2025,7.5059,0.30234827000000003,16.3716,12.42,0.2672,6.29482,0.8881131
2030,5.04524,9.1970381,16.3327,12.42,6.7265505,5.61546,9.5658683
2035,2.81574,9.1809581,15.903979999999999,12.42,6.7057305,3.748393,10.977654000000001
2040,2.4444,9.006709800000001,5.02332,12.42,6.733115,2.7513993,12.443708
2045,2.35704,8.112959700000001,0.6888,12.42,7.0153131,0.8391593199999999,14.255422000000001
2050,2.2556,9.5424998,0.6888,12.42,8.2160133,2.9186373,14.569533
2025,7.5059,0.59870665,16.3716,12.42,0.2672,6.29482,0.8580067
2030,5.04524,9.7252314,16.3327,12.42,10.202283,5.61546,9.080588299999999
2035,2.81574,9.709151400000001,15.903979999999999,12.42,10.181462999999999,3.21062,10.461161
2040,2.4444,9.484463100000001,5.02332,12.42,10.163523,2.6326939,11.864473
2045,2.35704,10.218523,0.6888,12.42,9.9662832,3.0744881,12.83699
2050,2.2556,10.690403,0.6888,12.42,10.412094999999999,3.2514584,13.864548000000001
2025,7.5059,0.7516438799999999,16.3716,12.42,0.2672,6.29482,0.82519526
2030,5.04524,8.9775218,16.3327,12.42,7.2602193999999995,5.61546,9.7435505
