year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,RENEWABLE,PENETRATION
2030,12092.406698879968,0.0,31608.771932540436,0.0,68427.14370864289,52035.46169644306,69373.00697207655,121408.4686685196,0.5193945183679983
2030,18658.36456487997,0.0,28625.635398814582,0.0,73542.20027760396,44630.76099295917,64570.257308153145,109201.01830111232,0.4671701317694644
2030,26742.567191999948,0.0,26192.682176786133,0.0,75841.72484640441,42159.69918624296,56228.24746619994,98387.94665244289,0.4209110017216808
2030,17475.85109999993,0.0,31288.83115259086,0.0,72058.04318640367,53508.94049414586,58828.72426187191,112337.66475601777,0.4805889401326963
2030,13334.492269439936,0.0,33721.99588447202,0.0,69334.34327760334,54885.71106031572,64746.394180677606,119632.10524099332,0.5117951026352655
2030,15006.995456855984,0.0,34697.351180820304,0.0,71777.42723280375,63707.807551615755,51980.832289807084,115688.63984142285,0.4949246624231993
2030,20231.09384640003,0.0,31624.589237199754,0.0,74111.96255784415,56094.9419266758,51492.81210504297,107587.75403171877,0.4602684664458557
2030,12687.974783999978,0.0,35916.37299756912,0.0,73784.72719680416,65931.06681208589,50284.41526157995,116215.48207366583,0.49717853293546876
2030,12107.09946239997,0.0,36365.09218406842,0.0,71191.87169760361,64836.16156911892,54632.23693611237,119468.3985052313,0.5110947529635563
2030,11024.777623439937,0.0,38568.94355530004,0.0,69496.44922800314,70263.3662594959,52371.69153446214,122635.05779395804,0.5246419584768258
2030,10930.198783200009,0.0,35106.24741100422,0.0,68266.91576880302,59071.27551528712,64276.83071609949,123348.1062313866,0.5276924330754507
2030,8188.178198399975,0.0,37784.837470578546,0.0,65349.99799680204,68261.79724628598,61217.939459989546,129479.73670627552,0.5539240072995745
2030,20043.87549359992,0.0,30381.53767382127,0.0,73669.55137560397,50638.34256842332,57359.678986865605,107998.02155528893,0.4620236216269045
2030,23001.460092000078,0.0,35166.31805096369,0.0,75457.6650816046,65592.0081926132,38504.6878313997,104096.6960240129,0.44533345892625836
2030,19189.544188800013,0.0,30727.127722619112,0.0,73336.64367840401,54022.64594801164,55223.601049643934,109246.24699765557,0.46736362351938215
2030,19646.465009999978,0.0,27760.801216281467,0.0,72016.5658704036,39062.775788172934,70523.15871592124,109585.93450409417,0.4688168321030767
2030,10820.121871199955,0.0,35883.170413040396,0.0,71307.09997680335,63186.76196190897,57368.3409438274,120555.10290573636,0.5157437557464657
2030,22283.39502719997,0.0,27180.709878025045,0.0,73522.7246064038,44063.6868648942,61276.78975549373,105340.47662038793,0.45065444543481464
2030,9793.550910720023,0.0,36000.96164101077,0.0,72859.06517856388,61977.021898986226,58073.47329836511,120050.49519735134,0.5135850061918774
2030,16582.169207232073,0.0,32742.850206409537,0.0,73522.34036808406,56961.74730917812,55061.89370747416,112023.64101665228,0.47924552306589213
