,Steam Production (klbs),CWS,TES
2019-08-19 10:00:00,161.85179808333334,17267.541277778335,6651.328246111002
2019-08-19 11:00:00,169.6973841666666,14904.838638885007,6529.026911389334
2019-08-19 12:00:00,163.38014341666667,15077.110555556672,6359.241525555499
2019-08-19 13:00:00,158.25009533333335,15864.64274999833,6433.715850833166
2019-08-19 14:00:00,158.92054933333335,16192.914388888335,6409.112766944334
2019-08-19 15:00:00,153.74459583333334,16290.918638885,6309.711705277668
2019-08-19 16:00:00,153.0107070833333,17214.363944441666,5109.681039999665
2019-08-19 17:00:00,152.80333299999998,19593.783138888328,3021.6052480559997
2019-08-19 18:00:00,148.70794324999997,19729.920277776662,260.33596452795
2019-08-19 19:00:00,151.78165000000004,22152.812888884997,-2396.964490915934
2019-08-19 20:00:00,148.1546566666667,25397.975749999994,-4639.0045588885
2019-08-19 21:00:00,143.19496408333328,26703.406944445,-6721.106032500166
2019-08-19 22:00:00,143.83157716666662,26408.799027775003,-7318.260081388666
2019-08-19 23:00:00,143.32345333333333,25342.06477777667,-7361.124946666499
2019-08-20 00:00:00,142.96458975,24956.04905555,-7343.154048333001
2019-08-20 01:00:00,141.994354,24630.77877777999,-7342.341692221833
2019-08-20 02:00:00,142.07097100000001,23896.60036111167,-6740.936959722499
2019-08-20 03:00:00,142.42372433333327,23506.679861108343,-6703.2426491661645
2019-08-20 04:00:00,143.91749733333336,22125.530416666665,-5252.5808180555005
2019-08-20 05:00:00,148.40237150000004,21113.30799999833,-1209.5382180834165
2019-08-20 06:00:00,152.98389325,19976.740805549995,-48.683485441683345
2019-08-20 07:00:00,163.76652375000006,19083.01177778333,2543.7016656592946
2019-08-20 08:00:00,160.06215949999995,18241.199805558335,5268.455371943999
2019-08-20 09:00:00,157.94541049999995,17375.155833333334,6495.106958055502
2019-08-20 10:00:00,158.81395808333335,18087.385638883334,6470.612751944332
2019-08-20 11:00:00,157.51558715833335,19361.855888888338,6481.140374722667
2019-08-20 12:00:00,160.75910416666662,19917.474361109995,6546.543696389503
2019-08-20 13:00:00,157.22779066666666,19828.76461110833,6567.982228611001
2019-08-20 14:00:00,157.6024863333333,19662.828666666665,6557.748280277833
2019-08-20 15:00:00,154.24620791666672,19513.063027771663,6479.544745833331
2019-08-20 16:00:00,154.1891225,19517.864027774995,5294.168836666166
2019-08-20 17:00:00,152.65825133333334,19815.964222226656,3005.078178610334
2019-08-20 18:00:00,151.89845208333338,20352.273999993336,271.5598360557167
2019-08-20 19:00:00,150.99388241666668,24486.008305551666,-2327.6417273058837
2019-08-20 20:00:00,150.09192133333332,26718.002277775005,-4925.874764166168
2019-08-20 21:00:00,150.56773149999998,26538.789916663332,-6789.454984722665
2019-08-20 22:00:00,151.62859816666662,26206.54577778,-7398.429653611001
